iter	Passed	Remaining
593	2148	925
594	2151	922
595	2154	918
596	2158	914
597	2161	911
598	2165	907
599	2168	903
600	2172	899
601	2174	896
602	2178	892
603	2183	889
604	2187	885
605	2190	881
606	2193	878
607	2197	874
608	2200	870
609	2204	867
610	2207	863
611	2211	859
612	2214	856
613	2218	852
614	2221	848
615	2225	845
616	2228	841
617	2232	837
618	2235	834
619	2238	830
620	2242	826
621	2246	823
622	2249	819
623	2253	816
624	2256	812
625	2260	808
626	2263	804
627	2266	801
628	2270	797
629	2273	793
630	2277	790
631	2280	786
632	2284	782
633	2287	779
634	2291	775
635	2295	772
636	2298	768
637	2302	764
638	2305	761
639	2309	757
640	2312	754
641	2315	750
642	2319	746
643	2323	743
644	2326	739
645	2329	735
646	2333	732
647	2337	728
648	2340	724
649	2344	721
650	2347	717
651	2350	713
652	2354	710
653	2358	706
654	2361	702
655	2364	699
656	2368	695
657	2372	692
658	2375	688
659	2379	684
660	2382	681
661	2386	677
662	2390	674
663	2393	670
664	2396	666
665	2399	662
666	2403	659
667	2406	655
668	2410	652
669	2413	648
670	2416	644
671	2420	641
672	2424	637
673	2427	633
674	2431	630
675	2434	626
676	2438	623
677	2441	619
678	2445	615
679	2448	612
680	2452	608
681	2455	604
682	2459	601
683	2462	597
684	2466	594
685	2469	590
686	2473	586
687	2476	583
688	2480	579
689	2483	575
690	2487	572
691	2490	568
692	2494	565
693	2497	561
694	2501	557
695	2504	554
696	2507	550
697	2511	546
698	2514	543
699	2518	539
700	2521	536
701	2525	532
702	2528	528
703	2532	525
704	2535	521
705	2539	517
706	2542	514
707	2546	510
708	2550	507
709	2553	503
710	2557	499
711	2560	496
712	2564	492
713	2568	489
714	2571	485
715	2574	481
716	2578	478
717	2581	474
718	2585	471
719	2588	467
720	2591	463
721	2594	460
722	2598	456
723	2601	452
724	2605	449
725	2609	445
726	2612	442
727	2615	438
728	2619	434
729	2623	431
730	2626	427
731	2629	423
732	2633	420
733	2636	416
734	2640	413
735	2643	409
736	2647	405
737	2650	402
738	2654	398
739	2657	395
740	2661	391
741	2664	387
742	2668	384
743	2673	380
744	2677	377
745	2680	373
746	2684	370
747	2688	366
748	2692	363
749	2696	359
750	2699	355
751	2703	352
752	2707	348
753	2711	345
754	2716	341
755	2720	338
756	2724	334
757	2728	331
758	2732	327
759	2736	324
760	2740	320
761	2743	316
762	2747	313
763	2751	309
764	2754	306
765	2757	302
766	2761	298
767	2764	295
768	2767	291
769	2771	287
770	2775	284
771	2778	280
772	2782	277
773	2786	273
774	2789	269
775	2792	266
776	2796	262
777	2800	259
778	2803	255
779	2806	251
780	2811	248
781	2814	244
782	2818	241
783	2821	237
784	2825	233
785	2828	230
786	2832	226
787	2836	223
788	2839	219
789	2843	215
790	2847	212
791	2850	208
792	2853	205
793	2857	201
794	2861	197
795	2864	194
796	2868	190
797	2871	187
798	2875	183
799	2879	179
800	2882	176
801	2886	172
802	2890	169
803	2893	165
804	2896	161
805	2900	158
806	2903	154
807	2906	151
808	2910	147
809	2913	143
810	2917	140
811	2920	136
812	2924	133
813	2927	129
814	2930	125
815	2934	122
816	2937	118
817	2940	115
818	2944	111
819	2948	107
820	2951	104
821	2954	100
822	2957	97
823	2961	93
824	2965	89
825	2968	86
826	2972	82
827	2975	79
828	2979	75
829	2982	71
830	2986	68
831	2990	64
832	2993	61
833	2997	57
834	3000	53
835	3003	50
836	3007	46
837	3011	43
838	3015	39
839	3019	35
840	3023	32
841	3027	28
842	3031	25
843	3035	21
844	3040	17
845	3043	14
846	3047	10
847	3050	7
848	3053	3
849	3057	0
